λ,k,T,x,cu
0.0,1.0001,0.001,0.05,0.00126070634174702
0.0,1.0001,0.001,0.5,0.012609446459018514
0.0,1.0001,0.001,1.0,0.025217488688511924
0.0,1.0001,0.001,2.0,0.05041326717230443
0.0,1.0001,0.001,5.0,0.12560515131729066
0.0,1.0001,0.01,0.05,0.00398714756036378
0.0,1.0001,0.01,0.5,0.03986421170021126
0.0,1.0001,0.01,1.0,0.0796344210638642
0.0,1.0001,0.01,2.0,0.1584880555841951
0.0,1.0001,0.01,5.0,0.38288335238994486
0.0,1.0001,0.05,0.05,0.008916101848646996
0.0,1.0001,0.05,0.5,0.08899794573796993
0.0,1.0001,0.05,1.0,0.1769036731609157
0.0,1.0001,0.05,2.0,0.34523800924981607
0.0,1.0001,0.05,5.0,0.7364188765300093
0.0,1.0001,0.25,0.05,0.0199369527517691
0.0,1.0001,0.25,0.5,0.19737794802993125
0.0,1.0001,0.25,1.0,0.38288335238994486
0.0,1.0001,0.25,2.0,0.6826571323143036
0.0,1.0001,0.25,5.0,0.9875785979691735
0.0,1.0001,1.0,0.05,0.03986421170021126
0.0,1.0001,1.0,0.5,0.38288335238994486
0.0,1.0001,1.0,1.0,0.6826571323143036
0.0,1.0001,1.0,2.0,0.9544929549083144
0.0,1.0001,1.0,5.0,0.9999994265660941
0.0,1.5,0.001,0.05,4.067590442602409e-5
0.0,1.5,0.001,0.5,0.0012862168223901627
0.0,1.5,0.001,1.0,0.003637385959854411
0.0,1.5,0.001,2.0,0.010281471187657765
0.0,1.5,0.001,5.0,0.04045888350190496
0.0,1.5,0.01,0.05,0.0002287363171449286
0.0,1.5,0.01,0.5,0.007229442757414328
0.0,1.5,0.01,1.0,0.02041513690769825
0.0,1.5,0.01,2.0,0.0573736718203095
0.0,1.5,0.01,5.0,0.21695658069560642
0.0,1.5,0.05,0.05,0.0007648095836088054
0.0,1.5,0.05,0.5,0.024121395004743307
0.0,1.5,0.05,1.0,0.06768132788760506
0.0,1.5,0.05,2.0,0.18545356674668445
0.0,1.5,0.05,5.0,0.595175936884804
0.0,1.5,0.25,0.05,0.002557021000419435
0.0,1.5,0.25,0.5,0.07979852847947821
0.0,1.5,0.25,1.0,0.21695658069560642
0.0,1.5,0.25,2.0,0.5279371098346719
0.0,1.5,0.25,5.0,0.9746544308698176
0.0,1.5,1.0,0.05,0.007229442757414328
0.0,1.5,1.0,0.5,0.21695658069560642
0.0,1.5,1.0,1.0,0.5279371098346719
0.0,1.5,1.0,2.0,0.9149444851383186
0.0,1.5,1.0,5.0,0.9999984122165798
0.0,2.4,0.001,0.05,7.484933906010127e-8
0.0,2.4,0.001,0.5,1.880003488041737e-5
0.0,2.4,0.001,1.0,9.920688549724943e-5
0.0,2.4,0.001,2.0,0.00052318891811165
0.0,2.4,0.001,5.0,0.004690615089110506
0.0,2.4,0.01,0.05,1.1862747997248846e-6
0.0,2.4,0.01,0.5,0.0002977777075479082
0.0,2.4,0.01,1.0,0.0015684700725521195
0.0,2.4,0.01,2.0,0.008211097681402824
0.0,2.4,0.01,5.0,0.06995851854196966
0.0,2.4,0.05,0.05,8.183469450862013e-6
0.0,2.4,0.05,0.5,0.0020486717501648766
0.0,2.4,0.05,1.0,0.010703173909474173
0.0,2.4,0.05,2.0,0.05424702615618937
0.0,2.4,0.05,5.0,0.37282894848972215
0.0,2.4,0.25,0.05,5.644718001307503e-5
0.0,2.4,0.25,0.5,0.013942156928155702
0.0,2.4,0.25,1.0,0.06995851854196966
0.0,2.4,0.25,2.0,0.30370014024154335
0.0,2.4,0.25,5.0,0.9367171636802952
0.0,2.4,1.0,0.05,0.00029777770754813027
0.0,2.4,1.0,0.5,0.06995851854196966
0.0,2.4,1.0,1.0,0.30370014024154335
0.0,2.4,1.0,2.0,0.8176987670910338
0.0,2.4,1.0,5.0,0.9999931721124925
0.0,3.0,0.001,0.05,1.0513043768867192e-9
0.0,3.0,0.001,0.5,1.0512263730610982e-6
0.0,3.0,0.001,1.0,8.407919057873414e-6
0.0,3.0,0.001,2.0,6.720285132144621e-5
0.0,3.0,0.001,5.0,0.0010434555145456548
0.0,3.0,0.01,0.05,3.3244940578214255e-8
0.0,3.0,0.01,0.5,3.322026726848559e-5
0.0,3.0,0.01,1.0,0.000265165058655481
0.0,3.0,0.01,2.0,0.002102341288023668
0.0,3.0,0.01,5.0,0.030859595783726657
0.0,3.0,0.05,0.05,3.7167858613074145e-7
0.0,3.0,0.05,0.5,0.0003703017834634226
0.0,3.0,0.05,1.0,0.0029293327646200407
0.0,3.0,0.05,2.0,0.02241070223835051
0.0,3.0,0.05,5.0,0.25896111118347065
0.0,3.0,0.25,0.05,4.1548696568805e-6
0.0,3.0,0.25,0.5,0.0040785929644227
0.0,3.0,0.25,1.0,0.030859595783726657
0.0,3.0,0.25,2.0,0.19874804309879912
0.0,3.0,0.25,5.0,0.8999391668806046
0.0,3.0,1.0,0.05,3.322026726848559e-5
0.0,3.0,1.0,0.5,0.030859595783726657
0.0,3.0,1.0,1.0,0.19874804309879912
0.0,3.0,1.0,2.0,0.738535870050889
0.0,3.0,1.0,5.0,0.999984559501709
0.0,10.0,0.001,0.05,0.0
0.0,10.0,0.001,0.5,0.0
0.0,10.0,0.001,1.0,0.0
0.0,10.0,0.001,2.0,3.3306690738754696e-16
0.0,10.0,0.001,5.0,2.516653552220305e-12
0.0,10.0,0.01,0.05,0.0
0.0,10.0,0.01,0.5,2.220446049250313e-16
0.0,10.0,0.01,1.0,2.6201263381153694e-14
0.0,10.0,0.01,2.0,2.6226354421510223e-11
0.0,10.0,0.01,5.0,2.2919102149465687e-7
0.0,10.0,0.05,0.05,0.0
0.0,10.0,0.05,0.5,7.893685705084863e-14
0.0,10.0,0.05,1.0,7.970279991553753e-11
0.0,10.0,0.05,2.0,7.667801682487152e-8
0.0,10.0,0.05,5.0,0.0004739871032457543
0.0,10.0,0.25,0.05,2.220446049250313e-16
0.0,10.0,0.25,0.5,2.4197110981560854e-10
0.0,10.0,0.25,1.0,2.2919102149465687e-7
0.0,10.0,0.25,2.0,0.00017211562995589347
0.0,10.0,0.25,5.0,0.20615985128164693
0.0,10.0,1.0,0.05,2.220446049250313e-16
0.0,10.0,1.0,0.5,2.2919102149465687e-7
0.0,10.0,1.0,1.0,0.00017211562995589347
0.0,10.0,1.0,2.0,0.052653017343711195
0.0,10.0,1.0,5.0,0.9946544945128659
0.5,1.0001,0.001,0.1,0.002521269131081749
0.5,1.0001,0.001,0.4,0.01008622260007952
0.5,1.0001,0.001,0.5,0.012607870508041352
0.5,1.0001,0.001,0.75,0.018911587815073405
0.5,1.0001,0.001,1.5,0.03781516435695764
0.5,1.0001,0.01,0.1,0.007964786309408445
0.5,1.0001,0.01,0.4,0.03185561754044541
