k,B,x,mb_pdf,mb_surv,mb_cdf
1.5,1.0,0.05,0.2167284063280809,0.9927705572425857,0.007229442757414328
1.5,1.0,0.5,0.6055805183355419,0.7830434193043936,0.21695658069560642
1.5,1.0,1.0,0.5886084093243822,0.47206289016532815,0.5279371098346719
1.5,1.0,2.0,0.18573756062256327,0.08505551486168145,0.9149444851383186
1.5,1.0,5.0,8.086818236821863e-6,1.5877834201926793e-6,0.9999984122165798
2.4,10.0,0.05,0.0009023504023397741,0.9999811999651196,1.880003488041737e-5
2.4,10.0,0.5,0.022387253763701057,0.9953093849108895,0.004690615089110506
2.4,10.0,1.0,0.05690583141923687,0.975741834704066,0.024258165295934053
2.4,10.0,2.0,0.12925715556543885,0.8818511803242752,0.11814881967572477
2.4,10.0,5.0,0.16314035414729278,0.36242137355504156,0.6375786264449584
3.0,5.0,0.05,0.00017836781408729662,0.9999970269057975,2.9730942024963625e-6
3.0,5.0,0.5,0.01740073934772586,0.99707066723538,0.0029293327646200407
3.0,5.0,1.0,0.06457369034861447,0.9775892977616495,0.02241070223835051
3.0,5.0,2.0,0.1913494655476512,0.8494670333918255,0.1505329666081745
3.0,5.0,5.0,0.1464498256192649,0.171797144296733,0.828202855703267
5.0,2.0,0.05,2.936651433481062e-7,0.9999999970628242,2.9371758358820443e-9
5.0,2.0,0.5,0.0027604534619169647,0.9997189560234596,0.00028104397654038493
5.0,2.0,1.0,0.036615940788976876,0.9921232932326297,0.00787670676737029
5.0,2.0,2.0,0.27673833161372985,0.8491450360846096,0.15085496391539044
5.0,2.0,5.0,0.05672615183210183,0.028543123326167236,0.9714568766738327
10.0,0.5,0.05,1.6235402382771166e-13,0.9999999999999991,8.881784197001252e-16
10.0,0.5,0.5,0.00012675793995302814,0.999993388289439,6.6117105610441484e-6
10.0,0.5,1.0,0.030656620097620192,0.9963401531726563,0.00365984682734366
10.0,0.5,2.0,0.7814672592526583,0.6288369351798735,0.3711630648201265
10.0,0.5,5.0,2.2604075301048207e-6,2.6690834249044957e-7,0.9999997330916575
