k,B,n,mb_mu
1.5,1.0,1,1.0460496200531015
1.5,1.0,2,1.5
1.5,1.0,3,2.6151240501327537
1.5,1.0,4,5.25
1.5,1.0,5,11.76805822559739
1.5,1.0,6,28.875
1.5,1.0,7,76.49237846638302
1.5,1.0,8,216.5625
2.4,10.0,1,4.425718018539592
2.4,10.0,2,23.999999999999996
2.4,10.0,3,150.47441263034614
2.4,10.0,4,1055.9999999999998
2.4,10.0,5,8125.618282038692
2.4,10.0,6,67583.99999999997
2.4,10.0,7,601295.7528708633
2.4,10.0,8,5.677055999999996e6
3.0,5.0,1,3.5682482323055424
3.0,5.0,2,15.0
3.0,5.0,3,71.36496464611085
3.0,5.0,4,375.0
3.0,5.0,5,2140.9489393833255
3.0,5.0,6,13125.0
3.0,5.0,7,85637.95757533301
3.0,5.0,8,590625.0
5.0,2.0,1,3.0090111122547003
5.0,2.0,2,10.0
5.0,2.0,3,36.1081333470564
5.0,2.0,4,140.0
5.0,2.0,5,577.7301335529024
5.0,2.0,6,2520.0
5.0,2.0,7,11554.602671058048
5.0,2.0,8,55440.0
10.0,0.5,1,2.1809490743563966
10.0,0.5,2,5.0
10.0,0.5,3,11.995219908960182
10.0,0.5,4,30.0
10.0,0.5,5,77.9689294082412
10.0,0.5,6,210.0
10.0,0.5,7,584.766970561809
10.0,0.5,8,1680.0
