λ,k,T,n,mu
0.5,1.5,0.05,1,4.697550716571302
0.5,1.5,0.05,2,30.25
0.5,1.5,0.05,3,236.8302129458283
0.5,1.5,0.05,4,2135.0625
0.5,1.5,0.05,5,21491.08734539679
0.5,1.5,0.05,6,236795.640625
0.5,1.5,0.05,7,2.816850944765156e6
0.5,1.5,0.05,8,3.581119687890625e7
3.0,1.0001,0.05,1,4.34252373286025
3.0,1.0001,0.05,2,29.002
3.0,1.0001,0.05,3,242.65140664731734
3.0,1.0001,0.05,4,2361.196004
3.0,1.0001,0.05,5,25732.966831551043
3.0,1.0001,0.05,6,307056.526828008
3.0,1.0001,0.05,7,3.9516410868989835e6
3.0,1.0001,0.05,8,5.426390109474684e7
3.0,2.4,0.25,1,3.9686040903749373
3.0,2.4,0.25,2,18.6
3.0,2.4,0.25,3,98.07851468202593
3.0,2.4,0.25,4,566.76
3.0,2.4,0.25,5,3530.4685379051148
3.0,2.4,0.25,6,23440.296
3.0,2.4,0.25,7,164515.53797860452
3.0,2.4,0.25,8,1.2129063695999996e6
10.0,3.0,0.05,1,11.988731827108912
10.0,3.0,0.05,2,160.0
10.0,3.0,0.05,3,2319.7741509159796
10.0,3.0,0.05,4,36000.0
10.0,3.0,0.05,5,591990.8494863515
10.0,3.0,0.05,6,1.024e7
10.0,3.0,0.05,7,1.8527941600409478e8
10.0,3.0,0.05,8,3.4912e9
50.0,2.4,0.01,1,51.408900159901116
50.0,2.4,0.01,2,2740.0
50.0,2.4,0.01,3,150858.4898651779
50.0,2.4,0.01,4,8.5556e6
50.0,2.4,0.01,5,4.986236483333842e8
50.0,2.4,0.01,6,2.9804584e10
50.0,2.4,0.01,7,1.8241206525032588e12
50.0,2.4,0.01,8,1.1414471056e14
100.0,2.5,0.05,1,100.15003759428221
100.0,2.5,0.05,2,10050.0
100.0,2.5,0.05,3,1.0105078763149722e6
100.0,2.5,0.05,4,1.018045e8
100.0,2.5,0.05,5,1.027644447196537e10
100.0,2.5,0.05,6,1.039351585e12
100.0,2.5,0.05,7,1.0532244025100558e14
100.0,2.5,0.05,8,1.069333965945e16
250.0,2.4,0.01,1,250.28006734042378
250.0,2.4,0.01,2,62740.0
250.0,2.4,0.01,3,1.5752571411441887e7
250.0,2.4,0.01,4,3.9613556e9
250.0,2.4,0.01,5,9.977423446338604e11
250.0,2.4,0.01,6,2.51693492584e14
250.0,2.4,0.01,7,6.359184385268117e16
250.0,2.4,0.01,8,1.609176075527056e19
1000.0,3.0,0.05,1,1000.0200000000001
1000.0,3.0,0.05,2,1.00006e6
1000.0,3.0,0.05,3,1.0001200012e9
1000.0,3.0,0.05,4,1.000200006e12
1000.0,3.0,0.05,5,1.00030001800012e15
1000.0,3.0,0.05,6,1.00042004200084e18
1000.0,3.0,0.05,7,1.00056008400336e21
1000.0,3.0,0.05,8,1.0007201512100801e24
