λ,k,T,p,q
0.5,1.5,0.05,0.01,0.2788102143385913
0.5,1.5,0.05,0.25,2.4874950567318592
0.5,1.5,0.05,0.5,4.280015768919839
0.5,1.5,0.05,0.75,6.4582456368079875
0.5,1.5,0.05,0.95,10.021600002393825
0.5,1.5,0.05,0.99,12.708491756377043
3.0,1.0001,0.05,0.01,0.0702258911478566
3.0,1.0001,0.05,0.25,1.7807341174775502
3.0,1.0001,0.05,0.5,3.741803375960444
3.0,1.0001,0.05,0.75,6.28837708044739
3.0,1.0001,0.05,0.95,10.415424883030937
3.0,1.0001,0.05,0.99,13.42415950576833
3.0,2.4,0.25,0.01,0.69142726600694
3.0,2.4,0.25,0.25,2.733039503407781
3.0,2.4,0.25,0.5,3.873928535307641
3.0,2.4,0.25,0.75,5.0895373191306135
3.0,2.4,0.25,0.95,6.905215009566746
3.0,2.4,0.25,0.99,8.206575868171058
10.0,3.0,0.05,0.01,3.3389267584789195
10.0,3.0,0.05,0.25,9.15723982227064
10.0,3.0,0.05,0.5,11.88440481066209
10.0,3.0,0.05,0.75,14.691315642885456
10.0,3.0,0.05,0.95,18.81202614193171
10.0,3.0,0.05,0.99,21.743058923566423
50.0,2.4,0.01,0.01,28.58812103818309
50.0,2.4,0.01,0.25,44.745739300878995
50.0,2.4,0.01,0.5,51.389978283668825
50.0,2.4,0.01,0.75,58.050370054979794
50.0,2.4,0.01,0.95,67.65318358670811
50.0,2.4,0.01,0.99,74.40837467488564
100.0,2.5,0.05,0.01,89.7545688928858
100.0,2.5,0.05,0.25,97.13583274019584
100.0,2.5,0.05,0.5,100.14993757863522
100.0,2.5,0.05,0.75,103.16413314071724
100.0,2.5,0.05,0.95,107.50069416758379
100.0,2.5,0.05,0.99,110.54639194521769
250.0,2.4,0.01,0.01,227.03031853714606
250.0,2.4,0.01,0.25,243.53886238108657
250.0,2.4,0.01,0.5,250.27991794664217
250.0,2.4,0.01,0.75,257.02110910938814
250.0,2.4,0.01,0.95,266.7196378663732
250.0,2.4,0.01,0.99,273.53113810792706
1000.0,3.0,0.05,0.01,989.6163606573225
1000.0,3.0,0.05,0.25,997.0036202276731
1000.0,3.0,0.05,0.5,1000.019999866737
1000.0,3.0,0.05,0.75,1003.0363796265362
1000.0,3.0,0.05,0.95,1007.3759357112237
1000.0,3.0,0.05,0.99,1010.4236405093445
