λ,k,T,x,su
0.0,1.0001,0.001,0.05,0.998739293658253
0.0,1.0001,0.001,0.5,0.9873905535409815
0.0,1.0001,0.001,1.0,0.9747825113114881
0.0,1.0001,0.001,2.0,0.9495867328276956
0.0,1.0001,0.001,5.0,0.8743948486827093
0.0,1.0001,0.01,0.05,0.9960128524396362
0.0,1.0001,0.01,0.5,0.9601357882997887
0.0,1.0001,0.01,1.0,0.9203655789361358
0.0,1.0001,0.01,2.0,0.8415119444158049
0.0,1.0001,0.01,5.0,0.6171166476100551
0.0,1.0001,0.05,0.05,0.991083898151353
0.0,1.0001,0.05,0.5,0.9110020542620301
0.0,1.0001,0.05,1.0,0.8230963268390843
0.0,1.0001,0.05,2.0,0.6547619907501839
0.0,1.0001,0.05,5.0,0.2635811234699908
0.0,1.0001,0.25,0.05,0.9800630472482309
0.0,1.0001,0.25,0.5,0.8026220519700688
0.0,1.0001,0.25,1.0,0.6171166476100551
0.0,1.0001,0.25,2.0,0.3173428676856965
0.0,1.0001,0.25,5.0,0.012421402030826527
0.0,1.0001,1.0,0.05,0.9601357882997887
0.0,1.0001,1.0,0.5,0.6171166476100551
0.0,1.0001,1.0,1.0,0.3173428676856965
0.0,1.0001,1.0,2.0,0.04550704509168561
0.0,1.0001,1.0,5.0,5.734339059093826e-7
0.0,1.5,0.001,0.05,0.999959324095574
0.0,1.5,0.001,0.5,0.9987137831776098
0.0,1.5,0.001,1.0,0.9963626140401456
0.0,1.5,0.001,2.0,0.9897185288123422
0.0,1.5,0.001,5.0,0.959541116498095
0.0,1.5,0.01,0.05,0.9997712636828551
0.0,1.5,0.01,0.5,0.9927705572425857
0.0,1.5,0.01,1.0,0.9795848630923017
0.0,1.5,0.01,2.0,0.9426263281796905
0.0,1.5,0.01,5.0,0.7830434193043936
0.0,1.5,0.05,0.05,0.9992351904163912
0.0,1.5,0.05,0.5,0.9758786049952567
0.0,1.5,0.05,1.0,0.9323186721123949
0.0,1.5,0.05,2.0,0.8145464332533155
0.0,1.5,0.05,5.0,0.40482406311519603
0.0,1.5,0.25,0.05,0.9974429789995806
0.0,1.5,0.25,0.5,0.9202014715205218
0.0,1.5,0.25,1.0,0.7830434193043936
0.0,1.5,0.25,2.0,0.47206289016532815
0.0,1.5,0.25,5.0,0.02534556913018243
0.0,1.5,1.0,0.05,0.9927705572425857
0.0,1.5,1.0,0.5,0.7830434193043936
0.0,1.5,1.0,1.0,0.47206289016532815
0.0,1.5,1.0,2.0,0.08505551486168145
0.0,1.5,1.0,5.0,1.5877834201926793e-6
0.0,2.4,0.001,0.05,0.9999999251506609
0.0,2.4,0.001,0.5,0.9999811999651196
0.0,2.4,0.001,1.0,0.9999007931145028
0.0,2.4,0.001,2.0,0.9994768110818883
0.0,2.4,0.001,5.0,0.9953093849108895
0.0,2.4,0.01,0.05,0.9999988137252003
0.0,2.4,0.01,0.5,0.9997022222924521
0.0,2.4,0.01,1.0,0.9984315299274479
0.0,2.4,0.01,2.0,0.9917889023185972
0.0,2.4,0.01,5.0,0.9300414814580303
0.0,2.4,0.05,0.05,0.9999918165305491
0.0,2.4,0.05,0.5,0.9979513282498351
0.0,2.4,0.05,1.0,0.9892968260905258
0.0,2.4,0.05,2.0,0.9457529738438106
0.0,2.4,0.05,5.0,0.6271710515102779
0.0,2.4,0.25,0.05,0.9999435528199869
0.0,2.4,0.25,0.5,0.9860578430718443
0.0,2.4,0.25,1.0,0.9300414814580303
0.0,2.4,0.25,2.0,0.6962998597584567
0.0,2.4,0.25,5.0,0.06328283631970473
0.0,2.4,1.0,0.05,0.9997022222924519
0.0,2.4,1.0,0.5,0.9300414814580303
0.0,2.4,1.0,1.0,0.6962998597584567
0.0,2.4,1.0,2.0,0.1823012329089661
0.0,2.4,1.0,5.0,6.8278875075436994e-6
0.0,3.0,0.001,0.05,0.9999999989486956
0.0,3.0,0.001,0.5,0.9999989487736269
0.0,3.0,0.001,1.0,0.9999915920809421
0.0,3.0,0.001,2.0,0.9999327971486786
0.0,3.0,0.001,5.0,0.9989565444854543
0.0,3.0,0.01,0.05,0.9999999667550594
0.0,3.0,0.01,0.5,0.9999667797327315
0.0,3.0,0.01,1.0,0.9997348349413445
0.0,3.0,0.01,2.0,0.9978976587119763
0.0,3.0,0.01,5.0,0.9691404042162733
0.0,3.0,0.05,0.05,0.9999996283214139
0.0,3.0,0.05,0.5,0.9996296982165366
0.0,3.0,0.05,1.0,0.99707066723538
0.0,3.0,0.05,2.0,0.9775892977616495
0.0,3.0,0.05,5.0,0.7410388888165294
0.0,3.0,0.25,0.05,0.9999958451303431
0.0,3.0,0.25,0.5,0.9959214070355773
0.0,3.0,0.25,1.0,0.9691404042162733
0.0,3.0,0.25,2.0,0.8012519569012009
0.0,3.0,0.25,5.0,0.10006083311939543
0.0,3.0,1.0,0.05,0.9999667797327315
0.0,3.0,1.0,0.5,0.9691404042162733
0.0,3.0,1.0,1.0,0.8012519569012009
0.0,3.0,1.0,2.0,0.26146412994911095
0.0,3.0,1.0,5.0,1.5440498291101507e-5
